condition,split,degradation_type,severity,boundary_radius,score,region,pixels,error_rate,error_auroc,error_auprc,aurc,oracle_aurc,eaurc,unique_score_count,tie_group_count,largest_tie_group,tied_pixel_fraction,score_dtype,sort_seconds,metric_seconds,risk_at_90_coverage,risk_at_80_coverage,risk_at_70_coverage,top_5_uncertainty_precision,top_5_uncertainty_recall,top_10_uncertainty_precision,top_10_uncertainty_recall,top_20_uncertainty_precision,top_20_uncertainty_recall
lowlight_s2,val,lowlight,2,3,logistic_fusion,boundary,2127005.0,0.38339778232773314,0.6167782652874215,0.5053561399468055,0.3228590306009958,0.08525139248968168,0.23760763811131413,1982452.0,134282.0,7.0,0.1310927806939805,float32,2.292888000025414,0.4683505999855697,0.35909925534332304,0.33967421327171304,0.32303022894693006,0.631954565542402,0.082415581326051,0.6020846164333972,0.15703951862011628,0.5582920585518135,0.2912338486478665
lowlight_s2,val,lowlight,2,3,logistic_fusion,interior,19401571.0,0.140871375828277,0.7990795508254946,0.41537816029820734,0.05411464858737538,0.010424179848963207,0.043690468738412175,10740911.0,4054266.0,20.0,0.6553554864191152,float32,2.292888000025414,2.3681588999461383,0.10133343153080272,0.07444197335306026,0.05790539794272923,0.5474822153659651,0.1943199837841358,0.49671315428949603,0.3526006484882146,0.4065891557773016,0.5772489083928074
lowlight_s3,val,lowlight,3,3,logistic_fusion,full,21528576.0,0.2287518691435978,0.739376325634426,0.45314357758897467,0.12062878693409082,0.028423925221818025,0.0922048617122728,12192462.0,4579800.0,20.0,0.6463926829159532,float32,2.247219399898313,2.833721000002697,0.193271382600047,0.16269712680140658,0.13745749503450697,0.5820578969908837,0.12722475390389104,0.548076556837469,0.2395943957624238,0.49297097161076114,0.43100942960609595
lowlight_s3,val,lowlight,3,3,logistic_fusion,boundary,2127005.0,0.444047851321459,0.600529631537376,0.5497961545010143,0.39139556772599166,0.11766332665131585,0.2737322410746758,1986431.0,130765.0,6.0,0.1275685764725518,float32,2.247219399898313,0.4399128999793902,0.4217039604451746,0.4038142834643078,0.38969067179616684,0.667704111856024,0.07518433189481753,0.6451403613523209,0.14528656674699203,0.604982122750064,0.27248510310304375
lowlight_s3,val,lowlight,3,3,logistic_fusion,interior,19401571.0,0.20514885109046066,0.7370754527834231,0.42652385451808206,0.10862064945141679,0.022650696694937588,0.0859699527564792,10997847.0,3977283.0,20.0,0.6381445605616164,float32,2.247219399898313,2.4976722999708727,0.1695891294943239,0.14038141369606855,0.11971651780783589,0.5597575042857335,0.13642722368920232,0.5251860930913874,0.25600257272857463,0.4642184977250558,0.4525675780926132
blur_s1,val,blur,1,3,logistic_fusion,full,21528576.0,0.14579510507336854,0.7898259188262486,0.39944513034693085,0.05757374016397657,0.011185918467956744,0.04638782169601982,11369398.0,4402005.0,23.0,0.6763653573743104,float32,2.3285179999656975,2.6255727999377996,0.10865718067030183,0.08364580077607316,0.0667616279332109,0.5339302452832467,0.183109832191747,0.4800363052277484,0.32925412288479433,0.3943922450993052,0.5410227156511758
blur_s1,val,blur,1,3,logistic_fusion,boundary,2127005.0,0.37111384317385243,0.6093013601068785,0.48125337939075596,0.3173039501999215,0.0794332807178674,0.23787066948205413,1988614.0,129204.0,5.0,0.1258083549403974,float32,2.3285179999656975,0.4390939000295475,0.3491664076518632,0.33036064795334286,0.31467038841993844,0.5937696871679626,0.07999888517421053,0.5686433068015665,0.1532264705248929,0.5341266240558908,0.2878505525355319
blur_s1,val,blur,1,3,logistic_fusion,interior,19401571.0,0.1210932867240493,0.7854900152476941,0.3661932310421295,0.04875972219588335,0.007647071014694625,0.041112651181188724,9997730.0,3864940.0,23.0,0.6839024015117127,float32,2.3285179999656975,2.1860012999968603,0.0858393254979236,0.06649216619504464,0.054707203392950494,0.5101388649790378,0.21063888652421894,0.4383787299797233,0.36201753639227036,0.33949782427457564,0.5607212479782072
blur_s2,val,blur,2,3,logistic_fusion,full,21528576.0,0.1497262986646214,0.7900183045406657,0.40150038833768686,0.057766857861924994,0.011814472340263676,0.04595238552166132,11190112.0,4310066.0,22.0,0.6804226159686548,float32,2.2078195000067353,2.4686566999880597,0.11247850982975136,0.08795635057381,0.07138591336803891,0.5314275256426574,0.1774663599919836,0.48495627672610087,0.32389524830039396,0.3968060132159204,0.5300419371631269
blur_s2,val,blur,2,3,logistic_fusion,boundary,2127005.0,0.38652142331588313,0.5983948290585547,0.4929071595282128,0.33941031863851306,0.08676969567198534,0.25264062296652773,1992009.0,126103.0,7.0,0.12275429535896719,float32,2.2078195000067353,0.4406454999698326,0.3644816264910764,0.347200053596489,0.3324848344822769,0.6186683717125367,0.08003084659051515,0.5848773630589419,0.1513185822731845,0.5438069021934598,0.28138512868355847
blur_s2,val,blur,2,3,logistic_fusion,interior,19401571.0,0.12376631768633581,0.7877605724252585,0.36583595818483766,0.047895339619828246,0.007996165426010633,0.03989917419381761,9843016.0,3772167.0,22.0,0.6870949780303873,float32,2.2078195000067353,2.1578233999898657,0.08806234134303213,0.069949746982477,0.057148905464211294,0.5055505788703807,0.2042360243222207,0.44510189376329146,0.3596310438557075,0.33903252699845243,0.5478592289634487
blur_s3,val,blur,3,3,logistic_fusion,full,21528576.0,0.16917282406416476,0.7872529086478454,0.42313174202750725,0.06553990676245387,0.015192734801729132,0.05034717196072474,11246425.0,4340502.0,22.0,0.6792206321495672,float32,2.0936656000558287,2.5041274999966845,0.1316666493769857,0.10374164896296846,0.08395492131256235,0.5492707833029397,0.162340165566096,0.5067282654034776,0.29953295534108537,0.430897439589606,0.5094169492456172
blur_s3,val,blur,3,3,logistic_fusion,boundary,2127005.0,0.4128546947468389,0.5894912732197488,0.5164043820718978,0.3690871019658763,0.10020982992518057,0.2688772720406957,1997223.0,121522.0,6.0,0.11814922861018193,float32,2.0936656000558287,0.42752510006539524,0.390165099082957,0.37323607607880566,0.3599345558880895,0.652857048828878,0.07906675898258145,0.6170586880174517,0.14946181947379927,0.5713291694189717,0.2767700969317105
blur_s3,val,blur,3,3,logistic_fusion,interior,19401571.0,0.14245784529510522,0.7893894503527884,0.3913135385613067,0.053912032805475095,0.010666529720231509,0.04324550308524359,9959528.0,3789827.0,22.0,0.6819999267069662,float32,2.0936656000558287,2.0923166000284255,0.105839653077351,0.08223109764885667,0.06636185581433021,0.5234707688755246,0.18372839018403664,0.4720213508384369,0.33134122506337044,0.38336501031488424,0.5382154820026441
