condition,method,reference,metric,delta_candidate_minus_clean_global
lowlight_s3,per_degradation,clean_global,aurc,0.0003236250267082963
lowlight_s3,per_degradation,clean_global,error_auroc,-0.0006954571775364959
lowlight_s3,per_degradation,clean_global,mean_wrong_confidence,-0.016466975212097168
blur_s1,per_degradation,clean_global,nll,0.0040348508768066615
blur_s1,per_degradation,clean_global,ece,0.014342951259411898
blur_s1,per_degradation,clean_global,brier_score,0.0017712670555579957
blur_s1,per_degradation,clean_global,aurc,0.0002538922187725959
blur_s1,per_degradation,clean_global,error_auroc,-0.0012101480419708377
blur_s1,per_degradation,clean_global,mean_wrong_confidence,-0.02451622486114502
blur_s2,per_degradation,clean_global,nll,0.0033074855078664145
blur_s2,per_degradation,clean_global,ece,0.007606118931081301
blur_s2,per_degradation,clean_global,brier_score,0.0013656611674816022
blur_s2,per_degradation,clean_global,aurc,0.0002425312779019001
blur_s2,per_degradation,clean_global,error_auroc,-0.0011763902987336206
blur_s2,per_degradation,clean_global,mean_wrong_confidence,-0.024631023406982422
blur_s3,per_degradation,clean_global,nll,0.0003878192088738741
blur_s3,per_degradation,clean_global,ece,-0.0034465602631011012
blur_s3,per_degradation,clean_global,brier_score,0.0003591028341237701
blur_s3,per_degradation,clean_global,aurc,0.00028841581707339525
blur_s3,per_degradation,clean_global,error_auroc,-0.0009241960448956865
blur_s3,per_degradation,clean_global,mean_wrong_confidence,-0.024871528148651123
