condition,method,region,boundary_radius,region_pixel_fraction,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_confidence,mean_wrong_confidence
lowlight_s2,raw,boundary,3,0.09294408112667156,7003338,0.47775917712382293,1.6151924943014675,0.6982932822757162,0.24078461834688186,0.5719173695413793,0.4324072867415185,0.13849772480137704,0.2939095619401415,0.7630254030227661,0.7401534914970398
lowlight_s2,raw,interior,3,0.9070559188733285,68346678,0.23364519633273179,0.9169657058670431,0.3625809858765191,0.10859417400214988,0.7576079151348991,0.10793315192553708,0.029710499362322784,0.0782226525632143,0.8749489784240723,0.7654377818107605
lowlight_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.47775917712382293,1.2142654582402348,0.6244943145214289,0.08761296914879191,0.5742788329336196,0.43141195646942077,0.13849772480137704,0.29291423166804376,0.6064940690994263,0.5863339304924011
lowlight_s2,clean_global,interior,3,0.9070559188733285,68346678,0.23364519633273179,0.7220545614429863,0.3465116876387357,0.033317123737091725,0.7564682450243609,0.10800147852969527,0.029710499362322784,0.07829097916737249,0.747627317905426,0.6150769591331482
lowlight_s3,raw,boundary,3,0.09294408112667156,7003338,0.5176297359916086,1.8831966962575561,0.7706948268365028,0.27669423068428983,0.5626242801498256,0.47791440382670936,0.16596093787448093,0.3119534659522284,0.7590644359588623,0.7396506071090698
lowlight_s3,raw,interior,3,0.9070559188733285,68346678,0.3061573526660652,1.1841069037126428,0.47236712355509436,0.14677723980731988,0.7247078575836292,0.1670818407141612,0.05255087312201573,0.11453096759214548,0.8406198620796204,0.7477671504020691
lowlight_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.5176297359916086,1.383825596417826,0.6799262343720951,0.10676033726483843,0.5690823396741135,0.4744794331713814,0.16596093787448093,0.30851849529690045,0.5883431434631348,0.5702726244926453
lowlight_s3,clean_global,interior,3,0.9070559188733285,68346678,0.3061573526660652,0.92858572484313,0.44235422093228877,0.031540568111282224,0.7248118312289235,0.16657727311325307,0.05255087312201573,0.11402639999123734,0.6886429190635681,0.5802738666534424
blur_s1,raw,boundary,3,0.09294408112667156,7003338,0.4728162484803675,1.6169005241232823,0.6927111960865125,0.23975256666339434,0.5734799084019172,0.42490859425230976,0.1353099861836053,0.28959860806870447,0.7669363021850586,0.7437220811843872
blur_s1,raw,interior,3,0.9070559188733285,68346678,0.22206954959829941,0.918695233622035,0.34691766515886846,0.1071348440044633,0.7639369350688207,0.09967534874220935,0.02671709082054293,0.07295825792166641,0.8850652575492859,0.7730119824409485
blur_s1,clean_global,boundary,3,0.09294408112667156,7003338,0.4728162484803675,1.2031783609941609,0.619367546645703,0.09101288692279245,0.5747921565891683,0.42448832985853585,0.1353099861836053,0.28917834367493056,0.6147670149803162,0.5942690372467041
blur_s1,clean_global,interior,3,0.9070559188733285,68346678,0.22206954959829941,0.7007628874350703,0.33040119249193795,0.027443021457505407,0.7643902533910603,0.09948937404220584,0.02671709082054293,0.0727722832216629,0.7686700820922852,0.6312817931175232
blur_s2,raw,boundary,3,0.09294408112667156,7003338,0.4906848705574399,1.8475131971220367,0.7412426273270957,0.27801141403875873,0.5646547062122066,0.4479857004231066,0.14705589175166733,0.30092980867143926,0.787324845790863,0.767322838306427
blur_s2,raw,interior,3,0.9070559188733285,68346678,0.242438220625734,1.0551478634502909,0.3828950919691188,0.13178588527873902,0.7580426551644851,0.11285249698391953,0.03210105016504055,0.08075144681887897,0.8893476128578186,0.7896302342414856
blur_s2,clean_global,boundary,3,0.09294408112667156,7003338,0.4906848705574399,1.2998810180097333,0.6540968774573104,0.1291577389042515,0.5670053115255534,0.44766785315044333,0.14705589175166733,0.300611961398776,0.6381742358207703,0.6194649934768677
blur_s2,clean_global,interior,3,0.9070559188733285,68346678,0.242438220625734,0.763769981850837,0.35574058563332805,0.019223782588108272,0.757883453091544,0.11274880644756687,0.03210105016504055,0.08064775628252632,0.7762929797172546,0.649607241153717
blur_s3,raw,boundary,3,0.09294408112667156,7003338,0.5085386425730131,2.061150994287474,0.7826962053164416,0.30842786705665637,0.5606560032531407,0.4673556104211458,0.159418272768737,0.3079373376524088,0.7998892068862915,0.7818827629089355
blur_s3,raw,interior,3,0.9070559188733285,68346678,0.2725192144671611,1.2152887908328551,0.4315691384078682,0.1573383163826784,0.7422662651965072,0.13601022200341467,0.04105833201512484,0.09495188998828982,0.8848191499710083,0.7974676489830017
blur_s3,clean_global,boundary,3,0.09294408112667156,7003338,0.5085386425730131,1.3973394440957119,0.6845513745440924,0.1609872456345185,0.561495683292496,0.4679866760623398,0.159418272768737,0.3085684032936028,0.6524485945701599,0.6352384686470032
blur_s3,clean_global,interior,3,0.9070559188733285,68346678,0.2725192144671611,0.8488744171754039,0.394264596357741,0.04339577965333541,0.7416637167340934,0.13659367415258536,0.04105833201512484,0.09553534213746051,0.7708677053451538,0.6598601937294006
