method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
pooled,clean,confirmation,2,aquatic_plants,0.0624053623912789,0.1174793814120364,0.0804647290297197,0.0099704962334911
pooled,clean,confirmation,3,wrecks_ruins,0.4536012931136555,0.6241068926707248,0.7228225243019916,0.0119505173887723
pooled,clean,confirmation,4,robots_instruments,0.5879510850017984,0.74051536039743,0.8061401730382515,0.0047434157835087
pooled,clean,confirmation,5,reefs_invertebrates,0.5436215871569382,0.7043456656474821,0.6980855681510387,0.0225186590550929
pooled,clean,confirmation,6,fish_vertebrates,0.5881426397662632,0.7406672738826833,0.7217420898180701,0.0205165344240507
pooled,clean,confirmation,7,seafloor_rocks,0.1463211084353698,0.2552881690106633,0.1929494898667631,0.0190913754394784
per_degradation,clean,confirmation,0,background_waterbody,0.720033967504675,0.8372322653014327,0.8685031648076741,0.0279883387282541
per_degradation,clean,confirmation,1,human_divers,0.6363169405702638,0.7777428990602572,0.8020124166036295,0.004339980629622
per_degradation,clean,confirmation,2,aquatic_plants,0.0624053623912789,0.1174793814120364,0.0804647290297197,0.0109999021322628
per_degradation,clean,confirmation,3,wrecks_ruins,0.4536012931136555,0.6241068926707248,0.7228225243019916,0.0107517209009637
per_degradation,clean,confirmation,4,robots_instruments,0.5879510850017984,0.74051536039743,0.8061401730382515,0.0039619596050455
per_degradation,clean,confirmation,5,reefs_invertebrates,0.5436215871569382,0.7043456656474821,0.6980855681510387,0.0223604411398027
per_degradation,clean,confirmation,6,fish_vertebrates,0.5881426397662632,0.7406672738826833,0.7217420898180701,0.0171715060679781
per_degradation,clean,confirmation,7,seafloor_rocks,0.1463211084353698,0.2552881690106633,0.1929494898667631,0.0205383969866135
raw,color_s1,confirmation,0,background_waterbody,0.7179332182375597,0.8358103919477063,0.8684300701673315,0.0817295713358342
raw,color_s1,confirmation,1,human_divers,0.6090432596026503,0.757025339086349,0.752668570273297,0.0021007435361137
raw,color_s1,confirmation,2,aquatic_plants,0.0598860084266764,0.1130046211584072,0.0764691465428687,0.0200586143752298
raw,color_s1,confirmation,3,wrecks_ruins,0.4612284866058144,0.6312886599646984,0.7185896219498521,0.0063408943187644
raw,color_s1,confirmation,4,robots_instruments,0.5726413182148776,0.7282541944973048,0.7894883919716388,0.0007836296387014
raw,color_s1,confirmation,5,reefs_invertebrates,0.5402145813468447,0.7014796352264795,0.6960007669272538,0.0741925565396876
raw,color_s1,confirmation,6,fish_vertebrates,0.5908358963637295,0.742799301567483,0.7239396197779342,0.0113268773117109
raw,color_s1,confirmation,7,seafloor_rocks,0.1454568371181729,0.2539717471749075,0.1900857518236775,0.0385278598355927
clean_global,color_s1,confirmation,0,background_waterbody,0.7179332182375597,0.8358103919477063,0.8684300701673315,0.0291652305619012
clean_global,color_s1,confirmation,1,human_divers,0.6090432596026503,0.757025339086349,0.752668570273297,0.003987148025921
clean_global,color_s1,confirmation,2,aquatic_plants,0.0598860084266764,0.1130046211584072,0.0764691465428687,0.0107821817033854
clean_global,color_s1,confirmation,3,wrecks_ruins,0.4612284866058144,0.6312886599646984,0.7185896219498521,0.0115004250475242
clean_global,color_s1,confirmation,4,robots_instruments,0.5726413182148776,0.7282541944973048,0.7894883919716388,0.0038013170873379
clean_global,color_s1,confirmation,5,reefs_invertebrates,0.5402145813468447,0.7014796352264795,0.6960007669272538,0.0216333425758893
clean_global,color_s1,confirmation,6,fish_vertebrates,0.5908358963637295,0.742799301567483,0.7239396197779342,0.0178220252643535
