method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
clean_global,clean_global,blur_s2,blur,2,calibration,1.927998726450754,0.5945617141734889,0.8111320971716848,0.7005853366482332,0.7195322720612958,0.5984787051899066,0.2854620252751506,0.02578495569215753,0.786843361373867,0.07584588468566497,0.7957038879394531,0.8330976963043213,0.6351087689399719
pooled,pooled,blur_s2,blur,2,calibration,1.9671212672389797,0.5945617141734889,0.8111320971716848,0.7005853366482332,0.7195322720612958,0.5989855660332574,0.28585763554594834,0.02780297689449978,0.7866573575842614,0.0758809161679331,0.7905697226524353,0.828096330165863,0.6294036507606506
per_degradation,per_degradation,blur_s2,blur,2,calibration,1.9360169736237696,0.5945617141734889,0.8111320971716848,0.7005853366482332,0.7195322720612958,0.5985563472707159,0.28553691846594964,0.02618755853095885,0.7868058938916089,0.0758528980945232,0.7946528196334839,0.8320752382278442,0.633934497833252
raw,none,blur_s3,blur,3,calibration,1.0,0.5570954635060539,0.7936831957673374,0.6581104534137887,0.6829272016926634,0.8724077150701932,0.32939876994767325,0.11071447330566914,0.7739358148477699,0.09027524719712546,0.9043976664543152,0.9341958165168762,0.7897665500640869
clean_global,clean_global,blur_s3,blur,3,calibration,1.927998726450754,0.5570954635060539,0.7936831957673374,0.6581104534137887,0.6829272016926634,0.6639730171888749,0.31096564326293574,0.027860609789313498,0.7728250831012129,0.09038477282057536,0.7887633442878723,0.8279237747192383,0.6381167769432068
pooled,pooled,blur_s3,blur,3,calibration,1.9671212672389797,0.5570954635060539,0.7936831957673374,0.6581104534137887,0.6829272016926634,0.6635800863146963,0.311241565048241,0.02959813081579784,0.7726367590311396,0.09043165821956595,0.7835094928741455,0.8227822184562683,0.6324303150177002
per_degradation,per_degradation,blur_s3,blur,3,calibration,1.9360169736237696,0.5570954635060539,0.7936831957673374,0.6581104534137887,0.6829272016926634,0.6638627386165717,0.31101584452653763,0.028198881570797196,0.7727871866867513,0.09039415845507681,0.7876874804496765,0.8268724083900452,0.636946439743042
raw,none,clean,clean,0,val,1.0,0.5606678203980276,0.8331059146689498,0.6548028451862504,0.6772105551880878,0.7566371842243537,0.2715907613073491,0.09070182780795684,0.7856198454590317,0.06300356072395251,0.9238077998161316,0.9468199014663696,0.8089353442192078
clean_global,clean_global,clean,clean,0,val,1.927998726450754,0.5606678203980276,0.8331059146689498,0.6548028451862504,0.6772105551880878,0.5664181208501667,0.25970375628594755,0.028859524889435426,0.7840923888314901,0.0631198822325709,0.8239986896514893,0.8552787899971008,0.6678537726402283
pooled,pooled,clean,clean,0,val,1.9671212672389797,0.5606678203980276,0.8331059146689498,0.6548028451862504,0.6772105551880878,0.566043181687911,0.26002801498865974,0.030023762114502143,0.7839217189456499,0.06314996544382684,0.8191893696784973,0.8506128787994385,0.6623287200927734
per_degradation,per_degradation,clean,clean,0,val,1.927998726450754,0.5606678203980276,0.8331059146689498,0.6548028451862504,0.6772105551880878,0.5664181208501667,0.25970375628594755,0.028859524889435426,0.7840923888314901,0.0631198822325709,0.8239986896514893,0.8552787899971008,0.6678537726402283
raw,none,color_s1,color_attenuation,1,val,1.0,0.560327319373103,0.8310410776820538,0.6564852908385527,0.6775122466778626,0.7455588112864502,0.27227743321539244,0.08918569092173854,0.793906859540582,0.060989165538856596,0.9202267527580261,0.9447436332702637,0.7996382117271423
clean_global,clean_global,color_s1,color_attenuation,1,val,1.927998726450754,0.560327319373103,0.8310410776820538,0.6564852908385527,0.6775122466778626,0.5677645195564723,0.26077275334246447,0.027296374597145578,0.7918857505374495,0.06121514289166956,0.8172497749328613,0.8500855565071106,0.6557437777519226
pooled,pooled,color_s1,color_attenuation,1,val,1.9671212672389797,0.560327319373103,0.8310410776820538,0.6564852908385527,0.6775122466778626,0.5677488757413635,0.2611599171724131,0.028795206942184844,0.791692233923404,0.06124983741804986,0.8123298287391663,0.8452989459037781,0.6501678824424744
per_degradation,per_degradation,color_s1,color_attenuation,1,val,1.9177302826702138,0.560327319373103,0.8310410776820538,0.6564852908385527,0.6775122466778626,0.5678249044142539,0.26068250519681374,0.026902595776329925,0.7919354234854215,0.06120631760104125,0.8185362815856934,0.8513345718383789,0.6572145819664001
raw,none,color_s2,color_attenuation,2,val,1.0,0.5518841916332029,0.824681065761154,0.6513279315450267,0.6707310913121134,0.7448010978089076,0.27903437795885805,0.08958747855636408,0.804931261384329,0.0599729977175438,0.9142662286758423,0.940999448299408,0.7885160446166992
clean_global,clean_global,color_s2,color_attenuation,2,val,1.927998726450754,0.5518841916332029,0.824681065761154,0.6513279315450267,0.6707310913121134,0.5791530043022818,0.26673419181614705,0.02146307277763,0.8029227925023882,0.06019412902525702,0.8062250018119812,0.8419700860977173,0.638083815574646
