method,target_alpha,region,seed,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
no_rejection,0.15,full,,1.0,1.0,0.0,0.15751717063155246,0.15751717063155246,0.17754492258053917,0.007517170631552454,0.009392763021425617,0.8424828293684475,3391120.379246345,146.0,0.08075327536074818,0.04400374632421023
no_rejection,0.15,interior,,1.0,1.0,0.0,0.14567789650178448,0.14558719870768122,0.16641805677872704,-0.004322103498215524,0.0059924435763407885,0.8544128012923188,3023240.619999114,146.0,0.0770299234514907,0.04176554850307679
oracle_condition_crc,0.05,boundary,,0.012307692307692308,0.012403138301386054,0.9875968616986139,0.3371180682408734,0.3498580000769481,0.34050252500850825,0.28711806824087344,0.28711806824087344,0.008036675861611968,3330.453729001089,146.0,0.4284665181866707,0.27735444602170134
oracle_condition_crc,0.05,full,,0.012307692307692308,0.01231136485042735,0.9876886351495726,0.037881473514386164,0.037881473514386164,0.038730465150858095,-0.012118526485613837,0.0017354310047085928,0.011850387642569708,9924.182853631059,146.0,0.08075327536074818,0.04400374632421023
oracle_condition_crc,0.05,interior,,0.012307692307692308,0.012311098196904603,0.9876889018030954,0.03773303065572039,0.0377026436966519,0.03857728663852926,-0.012266969344279613,0.0017057751670901272,0.011852388145002212,9525.50000290683,146.0,0.0770299234514907,0.04176554850307679
oracle_condition_crc,0.1,boundary,,0.34461538461538466,0.34471151640024184,0.6552884835997581,0.4203213460064318,0.4242291939424882,0.45763017636997616,0.3203213460064317,0.3203213460064317,0.1988198171417586,111276.70523391922,146.0,0.4284665181866707,0.27735444602170134
oracle_condition_crc,0.1,full,,0.34461538461538466,0.3446180555555556,0.6553819444444445,0.06245164224196191,0.06245164224196191,0.07995111929269788,-0.037548357758038095,0.0,0.32332178973742676,458478.27718178806,146.0,0.08075327536074818,0.04400374632421023
oracle_condition_crc,0.1,interior,,0.34461538461538466,0.34461887525917057,0.6553811247408294,0.0608970959324329,0.06093731519086587,0.07835963165416424,-0.039102904067567106,0.0,0.32390107632583914,430222.5185195292,146.0,0.0770299234514907,0.04176554850307679
oracle_condition_crc,0.15,boundary,,0.7553846153846154,0.755480051293145,0.24451994870685503,0.4562576652177706,0.45908543105553384,0.48726915627780776,0.3062576652177707,0.3062576652177707,0.40893565710992247,264321.5384973402,146.0,0.4284665181866707,0.27735444602170134
oracle_condition_crc,0.15,full,,0.7553846153846154,0.7553877871260684,0.24461221287393162,0.10297941296693466,0.10297941296693466,0.1244546841506559,-0.04702058703306533,0.0,0.6772234331714357,1682767.234603208,146.0,0.08075327536074818,0.04400374632421023
oracle_condition_crc,0.15,interior,,0.7553846153846154,0.7553880173472609,0.24461198265273912,0.09664471606556156,0.09666885710142839,0.11844997704059665,-0.05335528393443842,0.0,0.6822116969707713,1519567.8339032428,146.0,0.0770299234514907,0.04176554850307679
quality_group_crc,0.05,boundary,20260722.0,0.016965226554267653,0.017283046687754745,0.9827169533122452,0.3479967312190536,0.37139208427084813,0.35508437555193023,0.2979967312190536,0.2979967312190536,0.010861681623987537,4897.799881912481,146.0,0.4284665181866707,0.27735444602170134
quality_group_crc,0.05,boundary,20260723.0,0.016933614330874605,0.01722203144453336,0.9827779685554666,0.3478668900923087,0.3710353361791397,0.35496845972519153,0.2978668900923087,0.2978668900923087,0.010827896324439758,4877.030650824595,146.0,0.4284665181866707,0.27735444602170134
quality_group_crc,0.05,boundary,20260724.0,0.016933614330874605,0.01722203144453336,0.9827779685554666,0.3478668900923087,0.3710353361791397,0.35496845972519153,0.2978668900923087,0.2978668900923087,0.010827896324439758,4877.030650824595,146.0,0.4284665181866707,0.27735444602170134
quality_group_crc,0.05,full,20260722.0,0.016965226554267653,0.016967927079445836,0.9830320729205542,0.03925692215556193,0.045661677786590096,0.040531386533578566,-0.010743077844438072,0.0017354310047085928,0.01619988712736919,16534.806479318337,146.0,0.08075327536074818,0.04400374632421023
quality_group_crc,0.05,full,20260723.0,0.016933614330874605,0.016936316142357452,0.9830636838576425,0.03926097134076415,0.045769420347512316,0.04053543571878078,-0.010739028659235855,0.0017354310047085928,0.01616815470593745,16537.42186423719,146.0,0.08075327536074818,0.04400374632421023
