method,fit_scope,condition,degradation_type,severity,split,temperature,miou,pixel_accuracy,mean_accuracy,mean_dice,nll,brier_score,ece,error_auroc,aurc,mean_confidence,mean_correct_confidence,mean_wrong_confidence
pooled,pooled,color_s3,color_attenuation,3,confirmation,2.062835756016989,0.4497869005083754,0.7475450038391498,0.582282430836434,0.5834927842481341,0.7516703917148811,0.3678334204285962,0.0295553095308808,0.7511169003117513,0.1201819294372524,0.7287173271179199,0.7711101174354553,0.6031882762908936
per_degradation,per_degradation,color_s3,color_attenuation,3,confirmation,1.9751458870558352,0.4497869005083754,0.7475450038391498,0.582282430836434,0.5834927842481341,0.7519056755958039,0.3671356186888528,0.0241278496616656,0.7515747727901048,0.1200727820504425,0.7405287623405457,0.7828902006149292,0.6150923371315002
raw,none,turbidity_s1,turbidity,1,confirmation,1.0,0.4694528167060667,0.758849168658438,0.6052413651978384,0.6009296706837588,0.93013593960579,0.3690022632404062,0.111688319075443,0.7611696717615188,0.1102188421691609,0.870537519454956,0.9056234359741212,0.760129451751709
clean_global,clean_global,turbidity_s1,turbidity,1,confirmation,1.9380236116065588,0.4694528167060667,0.758849168658438,0.6052413651978384,0.6009296706837588,0.7269509271454958,0.3508227103137478,0.0273496302027624,0.7614622345185522,0.1100534841939984,0.7480253577232361,0.7902499437332153,0.6151540875434875
pooled,pooled,turbidity_s1,turbidity,1,confirmation,2.062835756016989,0.4694528167060667,0.758849168658438,0.6052413651978384,0.6009296706837588,0.7265099715676944,0.352212035297099,0.0364410612204673,0.760839564247734,0.1102140552170618,0.7318478226661682,0.77408367395401,0.5989408493041992
per_degradation,per_degradation,turbidity_s1,turbidity,1,confirmation,1.968172788455638,0.4694528167060667,0.758849168658438,0.6052413651978384,0.6009296706837588,0.7265495116997135,0.3510919762874521,0.0293988566338373,0.761324548388221,0.1100886689621883,0.7441044449806213,0.786345899105072,0.6111800074577332
raw,none,turbidity_s2,turbidity,2,confirmation,1.0,0.46481049069613,0.7572172247448494,0.5926973900581564,0.5970307052597801,0.9512463206920508,0.3742264547098141,0.1169641190812552,0.7591347184703207,0.1111341411445584,0.87418133020401,0.9082314372062684,0.7679826021194458
clean_global,clean_global,turbidity_s2,turbidity,2,confirmation,1.9380236116065588,0.46481049069613,0.7572172247448494,0.5926973900581564,0.5970307052597801,0.7332880604830095,0.3534816471416362,0.023361133220105,0.7588560609555332,0.1115451247231286,0.752649188041687,0.7942551374435425,0.6228843331336975
pooled,pooled,turbidity_s2,turbidity,2,confirmation,2.062835756016989,0.46481049069613,0.7572172247448494,0.5926973900581564,0.5970307052597801,0.7318881705723258,0.3545506549176938,0.0319105872833629,0.7582021548599273,0.1117580986549258,0.7365074157714844,0.7781767249107361,0.6065447926521301
per_degradation,per_degradation,turbidity_s2,turbidity,2,confirmation,1.968172788455638,0.46481049069613,0.7572172247448494,0.5926973900581564,0.5970307052597801,0.7326436834957355,0.3536722359258447,0.0252906403966738,0.7587101458346548,0.1115940152544536,0.7487385869026184,0.7903742790222168,0.6188808083534241
raw,none,turbidity_s3,turbidity,3,confirmation,1.0,0.4471983445558246,0.7508046315477889,0.5635933175776365,0.580031136272586,0.9949423415368858,0.3858732704158141,0.1213282184056086,0.7501331380976093,0.1183626763335873,0.8721328377723694,0.9054428935050964,0.7717726230621338
clean_global,clean_global,turbidity_s3,turbidity,3,confirmation,1.9380236116065588,0.4471983445558246,0.7508046315477889,0.5635933175776365,0.580031136272586,0.7580033231153668,0.3638829355995208,0.021618732848752,0.7489955898451259,0.1191231119196759,0.7495454549789429,0.7898397445678711,0.6281423568725586
pooled,pooled,turbidity_s3,turbidity,3,confirmation,2.062835756016989,0.4471983445558246,0.7508046315477889,0.5635933175776365,0.580031136272586,0.7553005928929827,0.3647873967837676,0.0303438676750998,0.7482048425645521,0.1193794870943394,0.7333346009254456,0.7736392617225647,0.6119003891944885
per_degradation,per_degradation,turbidity_s3,turbidity,3,confirmation,1.968172788455638,0.4471983445558246,0.7508046315477889,0.5635933175776365,0.580031136272586,0.757029480228083,0.3640335597925942,0.0235486155359737,0.748817220557891,0.1191814108366363,0.7456169128417969,0.7859276533126831,0.6241641640663147
raw,none,lowlight_s1,lowlight,1,confirmation,1.0,0.4544403259753838,0.7544040601132719,0.603223135654185,0.5888025512602111,0.9466876881827436,0.3757884715910441,0.1143642761648139,0.7580396561434154,0.1145709516993904,0.8687683939933777,0.9042556881904602,0.7597609162330627
clean_global,clean_global,lowlight_s1,lowlight,1,confirmation,1.9380236116065588,0.4544403259753838,0.7544040601132719,0.603223135654185,0.5888025512602111,0.7379413544299676,0.3567817236545694,0.0270436988973418,0.7585797041067064,0.1141735965275295,0.7448446750640869,0.7875820398330688,0.6135666966438293
pooled,pooled,lowlight_s1,lowlight,1,confirmation,2.062835756016989,0.4544403259753838,0.7544040601132719,0.603223135654185,0.5888025512602111,0.7372612606446056,0.3581137270256443,0.0364698557799729,0.7580057240182859,0.114309178582642,0.7285627722740173,0.7713035345077515,0.5972747206687927
per_degradation,per_degradation,lowlight_s1,lowlight,1,confirmation,2.0091113499075397,0.4544403259753838,0.7544040601132719,0.603223135654185,0.5888025512602111,0.7371604517362618,0.3574516615764457,0.0322454648334594,0.7582692314654461,0.1142459317377275,0.7355506420135498,0.7783090472221375,0.6042084097862244
raw,none,lowlight_s2,lowlight,2,confirmation,1.0,0.4228401189414292,0.7436658540324663,0.5814164075773827,0.5607322869840013,0.9818617482388492,0.3937834551902612,0.1208804907215739,0.7496218873703641,0.1235898932467227,0.8645463585853577,0.9002178311347961,0.7610577940940857
clean_global,clean_global,lowlight_s2,lowlight,2,confirmation,1.9380236116065588,0.4228401189414292,0.7436658540324663,0.5814164075773827,0.5607322869840013,0.7678026528399882,0.372348529319888,0.0270686162289867,0.7486011992716158,0.1236642210424388,0.7345098257064819,0.7773934006690979,0.6100977659225464
pooled,pooled,lowlight_s2,lowlight,2,confirmation,2.062835756016989,0.4228401189414292,0.7436658540324663,0.5814164075773827,0.5607322869840013,0.7674159493344294,0.3736360705060831,0.0370913628549927,0.7478540185608654,0.1238687555720515,0.7176642417907715,0.7605148553848267,0.5933479070663452
per_degradation,per_degradation,lowlight_s2,lowlight,2,confirmation,2.0091113499075397,0.4228401189414292,0.7436658540324663,0.5814164075773827,0.5607322869840013,0.7671833274737286,0.3729879374659021,0.0325722140015916,0.7481905031829007,0.1237760248161752,0.7248855233192444,0.7677697539329529,0.6004716753959656
raw,none,lowlight_s3,lowlight,3,confirmation,1.0,0.2455891399803606,0.6741875409820749,0.3706009306384424,0.352958626850468,1.2490831658640946,0.5000949200672754,0.1588522559817498,0.7159192225249046,0.1847024790410088,0.8330398201942444,0.8748283982276917,0.7465686202049255
clean_global,clean_global,lowlight_s3,lowlight,3,confirmation,1.9380236116065588,0.2455891399803606,0.6741875409820749,0.3706009306384424,0.352958626850468,0.970897577520354,0.4644351331128938,0.0303329998916506,0.7162915415916526,0.1840621681335262,0.6793206930160522,0.7279003262519836,0.5787970423698425
pooled,pooled,lowlight_s3,lowlight,3,confirmation,2.062835756016989,0.2455891399803606,0.6741875409820749,0.3706009306384424,0.352958626850468,0.9681103105722804,0.4648052440536515,0.0330578053670513,0.7157597064648977,0.1842209162720693,0.6607072949409485,0.7089909911155701,0.5607962012290955
per_degradation,per_degradation,lowlight_s3,lowlight,3,confirmation,2.0091113499075397,0.2455891399803606,0.6741875409820749,0.3706009306384424,0.352958626850468,0.9688494931888632,0.4645354979602436,0.0312741195167487,0.7160005505079688,0.1841472005783356,0.6686501502990723,0.7170830965042114,0.5684301853179932
raw,none,blur_s1,blur,1,confirmation,1.0,0.468475909033021,0.7546250288785605,0.6021051023205389,0.5973156368536797,0.98358928115818,0.3790571268765693,0.1194608720456118,0.757017065494973,0.1144475550771834,0.8740859031677246,0.9086570143699646,0.7677662372589111
clean_global,clean_global,blur_s1,blur,1,confirmation,1.9380236116065588,0.468475909033021,0.7546250288785605,0.6021051023205389,0.5973156368536797,0.7474594327410122,0.3572589072037774,0.0214052439574258,0.7575092807189393,0.1142529919778167,0.7543656229972839,0.7965433597564697,0.6246529817581177
pooled,pooled,blur_s1,blur,1,confirmation,2.062835756016989,0.468475909033021,0.7546250288785605,0.6021051023205389,0.5973156368536797,0.7444849336722111,0.3581047860614665,0.029496691622089,0.7569484007996096,0.1144074674025386,0.7385410666465759,0.7807813286781311,0.6086355447769165
per_degradation,per_degradation,blur_s1,blur,1,confirmation,2.343192372044961,0.468475909033021,0.7546250288785605,0.6021051023205389,0.5973156368536797,0.7482923408770892,0.3624260171827116,0.0552944929827792,0.7552292000587167,0.114887659876934,0.7036044597625732,0.7454783916473389,0.574825644493103
raw,none,blur_s2,blur,2,confirmation,1.0,0.4396089181942376,0.7344887226035891,0.5541103564285197,0.5745239258518415,1.128793534971981,0.4162013741872261,0.1453765277343968,0.7491909922839197,0.128605604655848,0.8798652291297913,0.9138696193695068,0.7857984304428101
