condition,degradation_type,severity,split,class_id,class_name,iou,dice,accuracy,classwise_ece
lowlight_s1,lowlight,1,val,7,seafloor_rocks,0.6229810515318603,0.7676997226108783,0.7673102802015985,0.04725919543946377
lowlight_s1,lowlight,1,calibration,0,background_waterbody,0.8774447638799128,0.9347223212752127,0.9530359265731179,0.019811497196764914
lowlight_s1,lowlight,1,calibration,1,human_divers,0.7394490666896582,0.8502106567534077,0.8175740085967831,0.002467708408837943
lowlight_s1,lowlight,1,calibration,2,aquatic_plants,0.1923535955134296,0.3226452224192804,0.25961200121982686,0.015676823201822468
lowlight_s1,lowlight,1,calibration,3,wrecks_ruins,0.7380183771488765,0.8492641813828863,0.8043272713805929,0.015406847976268755
lowlight_s1,lowlight,1,calibration,4,robots_instruments,0.7770982212717125,0.8745698037057421,0.9517504631699993,0.0005291934936378071
lowlight_s1,lowlight,1,calibration,5,reefs_invertebrates,0.722005137376324,0.8385632791739323,0.8748505203652126,0.07853986583578347
lowlight_s1,lowlight,1,calibration,6,fish_vertebrates,0.7112043226166856,0.8312324989094798,0.8089608340102838,0.009486831019163757
lowlight_s1,lowlight,1,calibration,7,seafloor_rocks,0.4576588681631363,0.6279368625388373,0.5790222797029373,0.07047445334940494
lowlight_s2,lowlight,2,val,0,background_waterbody,0.8298765904662682,0.9070301186319986,0.91483783545405,0.03027413190729472
lowlight_s2,lowlight,2,val,1,human_divers,0.7599876299063291,0.8636283766912356,0.879607535321821,0.0010437480317029655
lowlight_s2,lowlight,2,val,2,aquatic_plants,0.13597636917450706,0.23939999609907128,0.23617519454583016,0.025896567896633006
lowlight_s2,lowlight,2,val,3,wrecks_ruins,0.6121893244317917,0.7594509095853924,0.7234938301116682,0.020955656790806677
lowlight_s2,lowlight,2,val,4,robots_instruments,0.19714026784815225,0.32935199515510394,0.21620726212562946,0.0014401366214516623
lowlight_s2,lowlight,2,val,5,reefs_invertebrates,0.770444485186561,0.870340179127814,0.8733973404637182,0.06471064686693671
lowlight_s2,lowlight,2,val,6,fish_vertebrates,0.6339346514545129,0.7759608389358661,0.8039963002576459,0.014045154302164981
lowlight_s2,lowlight,2,val,7,seafloor_rocks,0.5924238694778565,0.7440529884447257,0.7303693313445685,0.05195314468292496
lowlight_s2,lowlight,2,calibration,0,background_waterbody,0.8485106936963736,0.9180479145615864,0.9583308319001592,0.03282899367573418
lowlight_s2,lowlight,2,calibration,1,human_divers,0.6714078255472145,0.8034039511899465,0.7452358049084858,0.003697732987000182
lowlight_s2,lowlight,2,calibration,2,aquatic_plants,0.20398730410632812,0.33885291549272567,0.2948253796971806,0.016858179106923946
lowlight_s2,lowlight,2,calibration,3,wrecks_ruins,0.7270811813376857,0.84197684416263,0.8089032471605573,0.016257636594630476
lowlight_s2,lowlight,2,calibration,4,robots_instruments,0.7888846412423048,0.8819849229567511,0.9557912221299432,0.0005657401826633838
lowlight_s2,lowlight,2,calibration,5,reefs_invertebrates,0.7093914881901302,0.829993004049903,0.8419735496966514,0.08171034208112668
lowlight_s2,lowlight,2,calibration,6,fish_vertebrates,0.6928895576298076,0.8185880224814112,0.7885142822398689,0.011061097040086903
lowlight_s2,lowlight,2,calibration,7,seafloor_rocks,0.4451384429437966,0.6160495489097008,0.5804219277076306,0.07543997323813655
lowlight_s3,lowlight,3,val,0,background_waterbody,0.7206132952998154,0.8376237673721441,0.9480044239673444,0.08924058822651296
lowlight_s3,lowlight,3,val,1,human_divers,0.7028707033419542,0.8255127085838536,0.7867252747252748,0.0014386099961537031
lowlight_s3,lowlight,3,val,2,aquatic_plants,0.11887877848229847,0.2124962610222198,0.2251890770770122,0.02887180424107791
lowlight_s3,lowlight,3,val,3,wrecks_ruins,0.42653350498706094,0.5979999817682933,0.5843985194049707,0.037813932587435775
lowlight_s3,lowlight,3,val,4,robots_instruments,0.10196574908898051,0.18506155780844888,0.1316370704125806,0.0021792938558236287
lowlight_s3,lowlight,3,val,5,reefs_invertebrates,0.690045396745544,0.8165998358083613,0.7703410745242127,0.096795984034255
lowlight_s3,lowlight,3,val,6,fish_vertebrates,0.567673754437083,0.7242243519486898,0.6762622133853262,0.017818982736175423
lowlight_s3,lowlight,3,val,7,seafloor_rocks,0.5187878700590558,0.6831604074358106,0.6333275050931981,0.06331664629819753
