method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
raw,color_s3,calibration,0,background_waterbody,0.8668679548412841,0.9286869514185676,0.9582727237412922,0.026527631982148876
raw,color_s3,calibration,1,human_divers,0.6769772972559956,0.8073780108576545,0.7678196928729895,0.003245955515344846
raw,color_s3,calibration,2,aquatic_plants,0.16782222192370144,0.2874105643361631,0.2604982002340608,0.018888316848981318
raw,color_s3,calibration,3,wrecks_ruins,0.7470227534731296,0.8551952193960012,0.8320464124766515,0.013537863194033592
raw,color_s3,calibration,4,robots_instruments,0.746615229986993,0.8549281114336247,0.8067622819906727,0.0003310409217775296
raw,color_s3,calibration,5,reefs_invertebrates,0.6989543824493576,0.8228053556584436,0.831730590104512,0.08715193701994617
raw,color_s3,calibration,6,fish_vertebrates,0.6737021338677601,0.8050442432201494,0.7689638796026926,0.012423020636291035
raw,color_s3,calibration,7,seafloor_rocks,0.45151279810294553,0.6221272023134072,0.602880294929401,0.07489439412727145
clean_global,color_s3,calibration,0,background_waterbody,0.8668679548412841,0.9286869514185676,0.9582727237412922,0.019462800732157472
clean_global,color_s3,calibration,1,human_divers,0.6769772972559956,0.8073780108576545,0.7678196928729895,0.00833829437996064
clean_global,color_s3,calibration,2,aquatic_plants,0.16782222192370144,0.2874105643361631,0.2604982002340608,0.011929154706567205
clean_global,color_s3,calibration,3,wrecks_ruins,0.7470227534731296,0.8551952193960012,0.8320464124766515,0.00840817692818804
clean_global,color_s3,calibration,4,robots_instruments,0.746615229986993,0.8549281114336247,0.8067622819906727,0.003629054073699052
clean_global,color_s3,calibration,5,reefs_invertebrates,0.6989543824493576,0.8228053556584436,0.831730590104512,0.036359675040893755
clean_global,color_s3,calibration,6,fish_vertebrates,0.6737021338677601,0.8050442432201494,0.7689638796026926,0.017478516255571275
clean_global,color_s3,calibration,7,seafloor_rocks,0.45151279810294553,0.6221272023134072,0.602880294929401,0.03473760477333033
pooled,color_s3,calibration,0,background_waterbody,0.8668679548412841,0.9286869514185676,0.9582727237412922,0.02294077070166261
pooled,color_s3,calibration,1,human_divers,0.6769772972559956,0.8073780108576545,0.7678196928729895,0.009346333846289362
pooled,color_s3,calibration,2,aquatic_plants,0.16782222192370144,0.2874105643361631,0.2604982002340608,0.013371719673223207
pooled,color_s3,calibration,3,wrecks_ruins,0.7470227534731296,0.8551952193960012,0.8320464124766515,0.010670947216708089
pooled,color_s3,calibration,4,robots_instruments,0.746615229986993,0.8549281114336247,0.8067622819906727,0.00413786845163976
pooled,color_s3,calibration,5,reefs_invertebrates,0.6989543824493576,0.8228053556584436,0.831730590104512,0.034896756883475315
pooled,color_s3,calibration,6,fish_vertebrates,0.6737021338677601,0.8050442432201494,0.7689638796026926,0.020034385482106128
pooled,color_s3,calibration,7,seafloor_rocks,0.45151279810294553,0.6221272023134072,0.602880294929401,0.03134569150447609
per_degradation,color_s3,calibration,0,background_waterbody,0.8668679548412841,0.9286869514185676,0.9582727237412922,0.019204063404810748
per_degradation,color_s3,calibration,1,human_divers,0.6769772972559956,0.8073780108576545,0.7678196928729895,0.008261098654537218
per_degradation,color_s3,calibration,2,aquatic_plants,0.16782222192370144,0.2874105643361631,0.2604982002340608,0.011816872282420949
per_degradation,color_s3,calibration,3,wrecks_ruins,0.7470227534731296,0.8551952193960012,0.8320464124766515,0.008232400351529305
per_degradation,color_s3,calibration,4,robots_instruments,0.746615229986993,0.8549281114336247,0.8067622819906727,0.003590878949161209
per_degradation,color_s3,calibration,5,reefs_invertebrates,0.6989543824493576,0.8228053556584436,0.831730590104512,0.03650511029497398
per_degradation,color_s3,calibration,6,fish_vertebrates,0.6737021338677601,0.8050442432201494,0.7689638796026926,0.01727828088214485
per_degradation,color_s3,calibration,7,seafloor_rocks,0.45151279810294553,0.6221272023134072,0.602880294929401,0.03500498933319369
raw,turbidity_s1,calibration,0,background_waterbody,0.8810828000135396,0.9367825807638003,0.9526518027494469,0.0187981031492035
raw,turbidity_s1,calibration,1,human_divers,0.7588424247666528,0.8628884703725851,0.8363036432334997,0.0020566843458153824
raw,turbidity_s1,calibration,2,aquatic_plants,0.19616529977168423,0.3279902866420334,0.24432246175660283,0.0151842443136565
raw,turbidity_s1,calibration,3,wrecks_ruins,0.7484220008370268,0.8561113969953852,0.808174724966959,0.014435165890945024
raw,turbidity_s1,calibration,4,robots_instruments,0.7637472314128682,0.866050665095656,0.8921931898038714,0.0002562340260029215
raw,turbidity_s1,calibration,5,reefs_invertebrates,0.7238472514996809,0.8398043978316079,0.8809840978677557,0.07904146940282791
raw,turbidity_s1,calibration,6,fish_vertebrates,0.7106347810168031,0.830843367506419,0.805881279959509,0.009329187142297538
raw,turbidity_s1,calibration,7,seafloor_rocks,0.45904538132349276,0.6292407175259963,0.5814159144544739,0.06880327871657557
clean_global,turbidity_s1,calibration,0,background_waterbody,0.8810828000135396,0.9367825807638003,0.9526518027494469,0.023023733813910992
