condition,boundary_radius,method,region,pixels,error_rate,nll,brier_score,ece,error_auroc,aurc,oracle_aurc,eaurc,mean_wrong_confidence
turbidity_s1,3,clean_global,boundary,2127005,0.3680071273927424,1.0240079461422869,0.5235304277151881,0.06430634508269101,0.6152076713046992,0.309235035097727,0.07800003134165288,0.2312350037560741,0.5915261507034302
turbidity_s1,3,clean_global,interior,19401571,0.11909226319868634,0.44441027179738435,0.19475984068265012,0.020651158699997906,0.7849658030808914,0.046584641101960984,0.007391062028572621,0.039193579073388364,0.7155745029449463
turbidity_s1,5,raw,boundary,3278017,0.315088359822417,1.246005813952269,0.49150742695107286,0.1563294314455911,0.6525646703599977,0.23899154095213737,0.05587297354669,0.18311856740544738,0.7783573865890503
turbidity_s1,5,raw,interior,18250559,0.1128987336771438,0.6463927933659457,0.19434909045756832,0.07675807961971376,0.7941797136665708,0.042644799729358245,0.00662742975705199,0.03601736997230626,0.8667567372322083
turbidity_s1,5,clean_global,boundary,3278017,0.315088359822417,0.9264952558875533,0.46371780430154114,0.06230927717814013,0.653675938351035,0.2375135865500275,0.05587297354669,0.1816406130033375,0.600749135017395
turbidity_s1,5,clean_global,interior,18250559,0.1128987336771438,0.42537109411278856,0.18476825533467223,0.01676024364027153,0.7879350899507248,0.04363967436919999,0.00662742975705199,0.037012244612148006,0.7260090112686157
turbidity_s2,1,raw,boundary,762735,0.47442165365428357,1.6863505246026635,0.7123310398419217,0.2588440510709593,0.552823367446957,0.44827769581168586,0.13634022330876866,0.3119374725029172,0.7667774558067322
turbidity_s2,1,raw,interior,20765841,0.13615384033808214,0.6911913116789371,0.22669005774013679,0.08512702625943455,0.7978212091596838,0.049857035003741855,0.009720813669831574,0.04013622133391028,0.8394029140472412
turbidity_s2,1,clean_global,boundary,762735,0.47442165365428357,1.1866115686374528,0.6251274162251019,0.08528678270527829,0.5561161753279306,0.44616529189986526,0.13634022330876866,0.3098250685910966,0.5877978801727295
turbidity_s2,1,clean_global,interior,20765841,0.13615384033808214,0.475106852236926,0.21577591223761416,0.021458816481402188,0.7925059460958093,0.0511795100064323,0.009720813669831574,0.04145869633660072,0.6881546974182129
turbidity_s2,3,raw,boundary,2127005,0.37007388323017576,1.3890577269300026,0.5672226224216239,0.1836923638193741,0.6172631740362587,0.3104490434492331,0.07895180145885725,0.23149724199037583,0.7678109407424927
turbidity_s2,3,raw,interior,19401571,0.12380739683399865,0.6538065718001328,0.20844931221597338,0.08115032881227446,0.7992488888304815,0.044914068669837284,0.008001593867117525,0.03691247480271976,0.851922869682312
turbidity_s2,3,clean_global,boundary,2127005,0.37007388323017576,1.0252041887757082,0.5246841380985235,0.061536147763669,0.6187049956918833,0.3086976883713521,0.07895180145885725,0.22974588691249484,0.5894126296043396
turbidity_s2,3,clean_global,interior,19401571,0.12380739683399865,0.44277079659554375,0.19800298766721003,0.018518646684499408,0.7934232383991219,0.04624893802587105,0.008001593867117525,0.03824734415875353,0.7053939700126648
turbidity_s2,5,raw,boundary,3278017,0.3171636998831916,1.2458094323631863,0.4936548868807346,0.15706133319217475,0.6552225505914082,0.23885044279268886,0.05666156544734208,0.18218887734534678,0.7760876417160034
turbidity_s2,5,raw,interior,18250559,0.11777935130644492,0.6331654300073425,0.1990361153972051,0.07946650053141016,0.8033857393587382,0.04189639147437625,0.007225559572021595,0.034670831902354655,0.8578007221221924
turbidity_s2,5,clean_global,boundary,3278017,0.3171636998831916,0.9282656031784994,0.4652298226574557,0.06071729057115503,0.6569501244943166,0.23697172135337938,0.05666156544734208,0.1803101559060373,0.598075270652771
turbidity_s2,5,clean_global,interior,18250559,0.11777935130644492,0.42344966987552274,0.18807881890383124,0.014519441742539541,0.7972567348089715,0.043244824544040134,0.007225559572021595,0.03601926497201854,0.7148290872573853
turbidity_s3,1,raw,boundary,762735,0.47950861046103826,1.758836284114486,0.7268932478340692,0.26922250625780025,0.5477707861717543,0.4567010527199526,0.1396371364265151,0.3170639162934375,0.7736005783081055
turbidity_s3,1,raw,interior,20765841,0.1444902713066136,0.709963956232708,0.24048620373869037,0.08922910470593526,0.789666340696848,0.05530881703054131,0.010981293382582585,0.04432752364795872,0.8363273739814758
turbidity_s3,1,clean_global,boundary,762735,0.47950861046103826,1.2135944276856068,0.6352864602538479,0.09528742582824011,0.5522743021765893,0.4540777337096361,0.1396371364265151,0.314440597283121,0.5946847200393677
turbidity_s3,1,clean_global,interior,20765841,0.1444902713066136,0.4886189848240435,0.2273148695253903,0.02303322098615197,0.7862286459180629,0.05699819362235792,0.010981293382582585,0.04601690023977533,0.6844863295555115
turbidity_s3,3,raw,boundary,2127005,0.3788077602074278,1.4652781489553386,0.5858216359755266,0.19515411264194685,0.6060680301937359,0.32668851968595874,0.08304901569622256,0.2436395039897362,0.7746286988258362
turbidity_s3,3,raw,interior,19401571,0.13197250882415656,0.6683928175238039,0.2217490356414791,0.08469104781850577,0.791899518469328,0.049883459776951376,0.009118934855192891,0.040764524921758485,0.8467826843261719
turbidity_s3,3,clean_global,boundary,2127005,0.3788077602074278,1.0556876900229137,0.538002361025979,0.06387880410211347,0.6089870105797466,0.32433845616765566,0.08304901569622256,0.2412894404714331,0.5968257188796997
turbidity_s3,3,clean_global,interior,19401571,0.13197250882415656,0.4549519300202545,0.20929263622034783,0.02025943236254652,0.787723276677361,0.05166696570932807,0.009118934855192891,0.04254803085413518,0.6992440223693848
turbidity_s3,5,raw,boundary,3278017,0.32648762956384914,1.32023249736426,0.5126058734833057,0.16766270877846998,0.6415558970910002,0.25625917038274937,0.06028259529569848,0.19597657508705088,0.7826998233795166
turbidity_s3,5,raw,interior,18250559,0.12580261240217355,0.6441874072036129,0.2119384132363682,0.08266253405798905,0.7967173531197381,0.04653755351331549,0.00826757362461296,0.03826997988870253,0.8513329029083252
turbidity_s3,5,clean_global,boundary,3278017,0.32648762956384914,0.9598337982421995,0.4795654433095527,0.06243530476861349,0.6444480824573819,0.2541046555167888,0.06028259529569848,0.1938220602210903,0.6055958867073059
turbidity_s3,5,clean_global,interior,18250559,0.12580261240217355,0.434281698320172,0.19905779281541458,0.016626372418981985,0.792023751354215,0.048391436634208654,0.00826757362461296,0.040123863009595695,0.7069549560546875
lowlight_s1,1,raw,boundary,762735,0.4750339239709729,1.6888515826782073,0.712364104062498,0.2570648779359381,0.5515466522340717,0.44883080919613205,0.13673442663956079,0.31209638255657124,0.764655351638794
lowlight_s1,1,raw,interior,20765841,0.13752426400645176,0.7003233762074096,0.2289851041271035,0.0850854645383306,0.7979411558216609,0.051618103079903055,0.009922477285206708,0.04169562579469635,0.8372981548309326
lowlight_s1,1,clean_global,boundary,762735,0.4750339239709729,1.1901259478636093,0.626361844628213,0.08770403562247307,0.5536946634460598,0.44730068449345817,0.13673442663956079,0.31056625785389735,0.5863057374954224
lowlight_s1,1,clean_global,interior,20765841,0.13752426400645176,0.4811195327340703,0.21744432547001105,0.021189353336441043,0.7938741896179006,0.052417708521607265,0.009922477285206708,0.04249523123640056,0.6843885779380798
lowlight_s1,3,raw,boundary,2127005,0.3706681460551339,1.3879925371149808,0.5670123394419324,0.1823441355479161,0.6165888426512949,0.31113194169208,0.07922672205004289,0.23190521964203714,0.7656494975090027
lowlight_s1,3,raw,interior,19401571,0.12523310612321034,0.66379587623423,0.21093009412823452,0.08118422327267855,0.7995938047512212,0.0467408172508828,0.008191189492113199,0.0385496277587696,0.8497146964073181
lowlight_s1,3,clean_global,boundary,2127005,0.3706681460551339,1.0271782930620168,0.5255887386254381,0.06382336103669368,0.6171505019293131,0.30967468202093207,0.07922672205004289,0.23044795997088918,0.5877953767776489
lowlight_s1,3,clean_global,interior,19401571,0.12523310612321034,0.44912801979089734,0.19973807277723155,0.018153048895257207,0.7951289812643039,0.047540964048110895,0.008191189492113199,0.039349774555997696,0.701105535030365
lowlight_s1,5,raw,boundary,3278017,0.3184501483671378,1.244995707389559,0.49401390818223717,0.15652810179818724,0.655085383363229,0.24006200060542626,0.05715355828785355,0.18290844231757272,0.7736687660217285
lowlight_s1,5,raw,interior,18250559,0.11913317285240414,0.6438067409418117,0.2015843645058009,0.07944109442808239,0.8034949121093182,0.0437845429879342,0.00739625042013921,0.036388292567794994,0.8557420969009399
lowlight_s1,5,clean_global,boundary,3278017,0.3184501483671378,0.9303232198240964,0.4663234579491961,0.062230811613380656,0.6565060966748598,0.23809252842792894,0.05715355828785355,0.1809389701400754,0.5961649417877197
lowlight_s1,5,clean_global,interior,18250559,0.11913317285240414,0.43006831646053967,0.1898323318137817,0.014172391589701367,0.7987822336348454,0.0445910041168346,0.00739625042013921,0.03719475369669539,0.7104009985923767
lowlight_s2,1,raw,boundary,762735,0.48368043947111383,1.7318487498934754,0.7255638042087029,0.26509160896116923,0.5531908752029575,0.4553765497087756,0.14237802921662143,0.31299852049215415,0.7638481855392456
lowlight_s2,1,raw,interior,20765841,0.15312141704253635,0.7298173557222531,0.2515094070797265,0.09469752611913337,0.7982112972368332,0.058645168896878506,0.01237193763190207,0.046273231264976435,0.8294051885604858
